来源,一级分类,分类路径,文档标题,api_name,doc_id,官方文档,官方权限说明,官方描述,必填参数,Token权限,权限判定依据,探测返回码,探测消息,探测返回行数,claw_quant实现,实现位置
Tushare官方目录,债券专题,债券专题,债券回购日行情,repo_daily,256,https://tushare.pro/document/2?doc_id=256,用户需要累积2000积分才可以调取，具体请参阅 积分获取办法,债券回购日行情,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,债券专题,债券专题,财经日历,eco_cal,233,https://tushare.pro/document/2?doc_id=233,2000积分可调取,获取全球财经日历、包括经济事件数据更新,,有权限,接口返回成功,0,,100,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,债券专题,债券专题,获取可转债评级历史记录,cb_rating,458,https://tushare.pro/document/2?doc_id=458,需要2000积分可以调取，具体请参阅 积分获取办法,获取可转债评级历史记录,ts_code,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,债券专题,债券专题,可转债十大持有人,top10_cb_holders,459,https://tushare.pro/document/2?doc_id=459,需要5000积分可以调取，具体请参阅 积分获取办法,获取可转债前十大持有人,ts_code,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,债券专题,债券专题,可转债发行,cb_issue,186,https://tushare.pro/document/2?doc_id=186,用户需要至少2000积分才可以调取，5000积分以上频次相对较高，积分越多权限越大，具体请参阅 积分获取办法,获取可转债发行数据,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,债券专题,债券专题,可转债基本信息,cb_basic,185,https://tushare.pro/document/2?doc_id=185,用户需要至少2000积分才可以调取，但有流量控制，5000积分以上频次相对较高，积分越多权限越大，具体请参阅 积分获取办法,获取可转债基本信息,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,债券专题,债券专题,可转债技术因子(专业版),cb_factor_pro,392,https://tushare.pro/document/2?doc_id=392,8000积分以上每分钟500次，具体请参阅 积分获取办法,获取可转债每日技术面因子数据，用于跟踪可转债当前走势情况，数据由Tushare社区自产，覆盖全历史；输出参数_bfq表示不复权，_qfq表示前复权 _hfq表示后复权，描述中说明了因子的默认传参，如需要特殊参数或者更多因子可以联系管理员评估,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,债券专题,债券专题,可转债票面利率,cb_rate,305,https://tushare.pro/document/2?doc_id=305,用户需要至少5000积分才可以调取，具体请参阅 积分获取办法,获取可转债票面利率,ts_code,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,债券专题,债券专题,可转债行情,cb_daily,187,https://tushare.pro/document/2?doc_id=187,用户需要至少2000积分才可以调取，5000积分以上频次相对较高，积分越多权限越大，具体请参阅 积分获取办法,获取可转债行情,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,债券专题,债券专题,可转债赎回信息,cb_call,269,https://tushare.pro/document/2?doc_id=269,,获取可转债到期赎回、强制赎回等信息。数据来源于公开披露渠道，供个人和机构研究使用，请不要用于数据商业目的。,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,债券专题,债券专题,可转债转股价变动,cb_price_chg,246,https://tushare.pro/document/2?doc_id=246,本接口需单独开权限（跟积分没关系），具体请参阅 积分获取办法,获取可转债转股价变动,ts_code,无权限,Tushare 明确返回无访问权限,40203,抱歉，您没有接口(cb_price_chg)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。,0,未实现,
Tushare官方目录,债券专题,债券专题,可转债转股结果,cb_share,247,https://tushare.pro/document/2?doc_id=247,用户需要至少2000积分才可以调取，但有流量控制，5000积分以上频次相对较高，积分越多权限越大，具体请参阅 积分获取办法,获取可转债转股结果,"ts_code,ann_date",有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,债券专题,债券专题,国债收益率曲线,yc_cb,201,https://tushare.pro/document/2?doc_id=201,属于单独的权限接口，请在群里联系群主或管理员,获取中债收益率曲线，目前可获取中债国债收益率曲线即期和到期收益率曲线数据,,无权限,Tushare 明确返回无访问权限,40203,抱歉，您没有接口(yc_cb)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。,0,未实现,
Tushare官方目录,债券专题,债券专题,债券大宗交易,bond_blk,271,https://tushare.pro/document/2?doc_id=271,用户满5000积分有数据权限，单次最大1000条，可根据日期循环提取，总量不限制,获取沪深交易所债券大宗交易数据,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,债券专题,债券专题,大宗交易明细,bond_blk_detail,272,https://tushare.pro/document/2?doc_id=272,用户满5000积分有数据权限，单次最大1000条，可根据日期循环提取，总量不限制,获取沪深交易所债券大宗交易数据 注：本接口目前只有深交所的大宗交易明细，上交所明细已经包含在大宗交易接口里，未单独罗列。,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,债券专题,债券专题,柜台流通式债券报价,bc_otcqt,322,https://tushare.pro/document/2?doc_id=322,用户需要至少500积分可以试用调取，2000积分以上频次相对较高，积分越多权限越大，具体请参阅 积分获取办法,柜台流通式债券报价,,有权限,接口返回成功,0,,167,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,债券专题,债券专题,柜台流通式债券最优报价,bc_bestotcqt,323,https://tushare.pro/document/2?doc_id=323,用户需要至少500积分可以试用调取，2000积分以上频次相对较高，积分越多权限越大，具体请参阅 积分获取办法,柜台流通式债券最优报价,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,公募基金,公募基金,公募基金业绩基准库,mkt_idx_bmk,462,https://tushare.pro/document/2?doc_id=462,需要5000积分可以调取，具体请参阅 积分获取办法,获取官方发布的ETF业绩比较基准列表信息，分为一类库、二类库,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,公募基金,公募基金,公募基金净值,fund_nav,119,https://tushare.pro/document/2?doc_id=119,用户需要至少2000积分才可以调取，具体请参阅 积分获取办法,获取公募基金净值数据,,有权限,接口返回成功,0,,3487,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,公募基金,公募基金,公募基金分红,fund_div,120,https://tushare.pro/document/2?doc_id=120,用户需要至少400积分才可以调取，具体请参阅 积分获取办法,获取公募基金分红数据,,有权限,接口返回成功,0,,22,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,公募基金,公募基金,公募基金列表,fund_basic,19,https://tushare.pro/document/2?doc_id=19,用户需要2000积分才可以调取，单次最大可以提取15000条数据，5000积分以上权限更高，具体请参阅 积分获取办法,获取公募基金数据列表，包括场内和场外基金,,有权限,接口返回成功,0,,1,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,公募基金,公募基金,场内基金技术因子(专业版),fund_factor_pro,359,https://tushare.pro/document/2?doc_id=359,5000积分每分钟可以请求30次，8000积分以上每分钟500次,获取场内基金每日技术面因子数据，用于跟踪场内基金当前走势情况，数据由Tushare社区自产，覆盖全历史；输出参数_bfq表示不复权，描述中说明了因子的默认传参，如需要特殊参数或者更多因子可以联系管理员评估,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,公募基金,公募基金,公募基金持仓数据,fund_portfolio,121,https://tushare.pro/document/2?doc_id=121,5000积分以上每分钟请求200次，8000积分以上每分钟请求500次，具体请参阅 积分获取办法,获取公募基金持仓数据，季度更新,,有权限,接口返回成功,0,,8000,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,公募基金,公募基金,公募基金公司,fund_company,118,https://tushare.pro/document/2?doc_id=118,用户需要1500积分才可以调取，一次可以提取全部数据。具体请参阅 积分获取办法,获取公募基金管理人列表,,有权限,接口返回成功,0,,206,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,公募基金,公募基金,基金经理,fund_manager,208,https://tushare.pro/document/2?doc_id=208,用户有500积分可获取数据，2000积分以上可以提高访问频次,获取公募基金经理数据，包括基金经理简历等数据,,有权限,接口返回成功,0,,2,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,公募基金,公募基金,基金规模数据,fund_share,207,https://tushare.pro/document/2?doc_id=207,用户需要至少2000积分可以调取，5000积分以上频次较高，具体请参阅 积分获取办法,获取基金规模数据，包含上海和深圳ETF基金,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,外汇数据,外汇数据,外汇基础信息（海外）,fx_obasic,178,https://tushare.pro/document/2?doc_id=178,用户需要至少2000积分才可以调取，具体请参阅 积分获取办法,获取海外外汇基础信息，目前只有FXCM交易商的数据 数量：单次可提取全部数据,,有权限,接口返回成功,0,,1,已实现,collectors/forex/fx_obasic.py:FxObasicCollector
Tushare官方目录,外汇数据,外汇数据,外汇日线行情,fx_daily,179,https://tushare.pro/document/2?doc_id=179,用户需要至少2000积分才可以调取，但有流量控制，5000积分以上频次相对较高，积分越多权限越大，具体请参阅 积分获取办法,获取外汇日线行情,,有权限,接口返回成功,0,,0,已实现,collectors/forex/fx_daily.py:FxDailyCollector
Tushare官方目录,大模型语料,大模型语料,上市公司全量公告,anns_d,176,https://tushare.pro/document/2?doc_id=176,本接口为单独权限，请参考 权限说明,获取全量公告数据，提供pdf下载URL,,无权限,Tushare 明确返回无访问权限,40203,抱歉，您没有接口(anns_d)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。,0,未实现,
Tushare官方目录,大模型语料,大模型语料,上证E互动,irm_qa_sh,366,https://tushare.pro/document/2?doc_id=366,需单独开权限，请参考 权限说明,"获取上交所e互动董秘问答文本数据。上证e互动是由上海证券交易所建立、上海证券市场所有参与主体无偿使用的沟通平台,旨在引导和促进上市公司、投资者等各市场参与主体之间的信息沟通,构建集中、便捷的互动渠道。本接口数据记录了以上沟通问答的文本数据。",,无权限,Tushare 明确返回无访问权限,40203,抱歉，您没有接口(irm_qa_sh)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。,0,未实现,
Tushare官方目录,大模型语料,大模型语料,券商研究报告,research_report,415,https://tushare.pro/document/2?doc_id=415,本接口需单独开权限（跟积分没关系），具体请参阅 权限说明,获取券商研究报告-个股、行业等，历史数据从20170101开始提供，增量每天两次更新,,无权限,Tushare 明确返回无访问权限,40203,抱歉，您没有接口(research_report)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。,0,未实现,
Tushare官方目录,大模型语料,大模型语料,国家政策法规库,npr,406,https://tushare.pro/document/2?doc_id=406,本接口需单独开权限（跟积分没关系），具体请参阅 权限说明,获取国家行政机关公开披露的各类法规、条例政策、批复、通知等文本数据。,,无权限,Tushare 明确返回无访问权限,40203,抱歉，您没有接口(npr)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。,0,未实现,
Tushare官方目录,大模型语料,大模型语料,央行货币政策执行报告,monetary_policy,465,https://tushare.pro/document/2?doc_id=465,本接口为单独权限（跟积分没关系），具体请参阅 权限对应列表,获取央行季度更新的货币政策执行报告，历史数据开始于2001年每年四篇，提供原始PDF下载链接，可用于分析过去20多年央行货币政策的动向、宏观以及金融市场的情况。,,无权限,Tushare 明确返回无访问权限,40203,抱歉，您没有接口(monetary_policy)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。,0,未实现,
Tushare官方目录,大模型语料,大模型语料,新闻快讯,news,143,https://tushare.pro/document/2?doc_id=143,本接口需单独开权限（跟积分没关系），具体请参阅 权限说明,"获取主流新闻网站的快讯新闻数据,提供超过6年以上历史新闻。","start_date,end_date,src",无权限,Tushare 明确返回无访问权限,40203,抱歉，您没有接口(news)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。,0,未实现,
Tushare官方目录,大模型语料,大模型语料,新闻联播,cctv_news,154,https://tushare.pro/document/2?doc_id=154,本接口需单独开权限（跟积分没关系），具体请参阅 权限说明,获取新闻联播文字稿数据，数据开始于2017年。,date,无权限,Tushare 明确返回无访问权限,40203,抱歉，您没有接口(cctv_news)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。,0,未实现,
Tushare官方目录,大模型语料,大模型语料,新闻通讯,major_news,195,https://tushare.pro/document/2?doc_id=195,本接口需单独开权限（跟积分没关系），具体请参阅 权限说明,获取长篇通讯信息，覆盖主要新闻资讯网站，提供超过8年历史新闻。,,有权限,接口返回成功,0,,800,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,大模型语料,大模型语料,深证互动易,irm_qa_sz,367,https://tushare.pro/document/2?doc_id=367,需单独开权限，请参考 权限说明,"互动易是由深交所官方推出,供投资者与上市公司直接沟通的平台,一站式公司资讯汇集,提供第一手的互动问答、投资者关系信息、公司声音等内容。",,无权限,Tushare 明确返回无访问权限,40203,抱歉，您没有接口(irm_qa_sz)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。,0,未实现,
Tushare官方目录,宏观经济,宏观经济/国内宏观,中国经济数据发布日程,cn_schedule,461,https://tushare.pro/document/2?doc_id=461,需要2000积分可以调取，具体请参阅 积分获取办法,获取国家统计局、中国人民银行等经济数据发布日程及对应tushare接口，持续更新中,,有权限,接口返回成功,0,,176,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,宏观经济,宏观经济/国内宏观/价格指数,居民消费价格指数,cn_cpi,228,https://tushare.pro/document/2?doc_id=228,用户积累600积分可以使用，具体请参阅 积分获取办法,获取CPI居民消费价格数据，包括全国、城市和农村的数据,,有权限,接口返回成功,0,,511,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,宏观经济,宏观经济/国内宏观/价格指数,工业生产者出厂价格指数,cn_ppi,245,https://tushare.pro/document/2?doc_id=245,用户600积分可以使用，具体请参阅 积分获取办法,获取PPI工业生产者出厂价格指数数据,,有权限,接口返回成功,0,,418,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,宏观经济,宏观经济/国内宏观/利率数据,Hibor利率,hibor,153,https://tushare.pro/document/2?doc_id=153,用户积累120积分可以调取，具体请参阅 积分获取办法 HIBOR (Hongkong InterBank Offered Rate)，是香港银行同行业拆借利率。指香港货币市场上，银行与银行之间的一年期以下的短期资金借贷利率，从伦敦同业拆借利率（LIBOR）变化出来的。,Hibor利率,,有权限,接口返回成功,0,,22,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,宏观经济,宏观经济/国内宏观/利率数据,LPR贷款基础利率,shibor_lpr,151,https://tushare.pro/document/2?doc_id=151,用户积累120积分可以调取，具体请参阅 积分获取办法 LPR介绍 贷款基础利率（Loan Prime Rate，简称LPR），是基于报价行自主报出的最优贷款利率计算并发布的贷款市场参考利率。目前，对社会公布1年期贷款基础利率。 LPR报价银行团现由10家商业银行组成。报价银行应符合财务硬约束条件和宏观审慎政策框架要求，系统重要性程度高、市场影响力大、综合实力强，已建立内部收益率曲线和内部转移定价机制，具有较强的自主定价能力，已制定本行贷款基础利率管理办法，以及有利于开展报价工作的其他条件。市场利率定价自律机制依据《贷款基础利率集中报价和发布规则》确定和调整报价行成员，监督和管理贷款基础利率运行，规范报价行与指定发布人行为。 全国银行间同业拆借中心受权贷款基础利率的报价计算和信息发布。每个交易日根据各报价行的报价，剔除最高、最低各1家报价，对其余报价进行加权平均计算后，得出贷款基础利率报价平均利率，并于11:30对外发布。,LPR贷款基础利率,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,宏观经济,宏观经济/国内宏观/利率数据,Libor拆借利率,libor,152,https://tushare.pro/document/2?doc_id=152,用户积累120积分可以调取，具体请参阅 积分获取办法 Libor（London Interbank Offered Rate ），即伦敦同业拆借利率，是指伦敦的第一流银行之间短期资金借贷的利率，是国际金融市场中大多数浮动利率的基础利率。作为银行从市场上筹集资金进行转贷的融资成本，贷款协议中议定的LIBOR通常是由几家指定的参考银行，在规定的时间（一般是伦敦时间上午11：00）报价的平均利率。,Libor拆借利率,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,宏观经济,宏观经济/国内宏观/利率数据,Shibor利率数据,shibor,149,https://tushare.pro/document/2?doc_id=149,用户积累120积分可以调取，具体请参阅 积分获取办法 Shibor利率介绍 上海银行间同业拆放利率（Shanghai Interbank Offered Rate，简称Shibor），以位于上海的全国银行间同业拆借中心为技术平台计算、发布并命名，是由信用等级较高的银行组成报价团自主报出的人民币同业拆出利率计算确定的算术平均利率，是单利、无担保、批发性利率。目前，对社会公布的Shibor品种包括隔夜、1周、2周、1个月、3个月、6个月、9个月及1年。 Shibor报价银行团现由18家商业银行组成。报价银行是公开市场一级交易商或外汇市场做市商，在中国货币市场上人民币交易相对活跃、信息披露比较充分的银行。中国人民银行成立Shibor工作小组，依据《上海银行间同业拆放利率（Shibor）实施准则》确定和调整报价银行团成员、监督和管理Shibor运行、规范报价行与指定发布人行为。 全国银行间同业拆借中心受权Shibor的报价计算和信息发布。每个交易日根据各报价行的报价，剔除最高、最低各4家报价，对其余报价进行算术平均计算后，得出每一期限品种的Shibor，并于11:00对外发布。,shibor利率,,有权限,接口返回成功,0,,22,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,宏观经济,宏观经济/国内宏观/利率数据,Shibor报价数据,shibor_quote,150,https://tushare.pro/document/2?doc_id=150,用户积累120积分可以调取，具体请参阅 积分获取办法,Shibor报价数据,,有权限,接口返回成功,0,,395,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,宏观经济,宏观经济/国内宏观/利率数据,广州民间借贷利率,gz_index,174,https://tushare.pro/document/2?doc_id=174,用户需要积攒2000积分可调取，具体请参阅 积分获取办法 数据来源：广州民间金融街,广州民间借贷利率,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,宏观经济,宏观经济/国内宏观/利率数据,温州民间借贷利率,wz_index,173,https://tushare.pro/document/2?doc_id=173,用户需要积攒2000积分可调取，具体请参阅 积分获取办法 数据来源：温州指数网 注： 温州指数 ，即温州民间融资综合利率指数，该指数及时反映民间金融交易活跃度和交易价格。该指数样板数据主要采集于四个方面：由温州市设立的几百家企业测报点，把各自借入的民间资本利率通过各地方金融办不记名申报收集起来；对各小额贷款公司借出的利率进行加权平均；融资性担保公司如典当行在融资过程中的利率，由温州经信委和商务局负责测报；民间借贷服务中心的实时利率。这些利率进行加权平均，就得出了“温州指数”。它是温州民间融资利率的风向标。2012年12月7日，温州指数正式对外发布。,温州民间借贷利率，即温州指数,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,宏观经济,宏观经济/国内宏观/国民经济,GDP数据,cn_gdp,227,https://tushare.pro/document/2?doc_id=227,用户积累600积分可以使用，具体请参阅 积分获取办法,获取国民经济之GDP数据,,有权限,接口返回成功,0,,178,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,宏观经济,宏观经济/国内宏观/景气度,采购经理人指数,cn_pmi,325,https://tushare.pro/document/2?doc_id=325,用户积累5000积分可以使用，具体请参阅 积分获取办法,采购经理人指数,,有权限,接口返回成功,0,,259,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,宏观经济,宏观经济/国内宏观/金融/社会融资,社融数据（月度）,sf_month,310,https://tushare.pro/document/2?doc_id=310,需2000积分,获取月度社会融资数据,,有权限,接口返回成功,0,,295,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,宏观经济,宏观经济/国内宏观/金融/货币供应量,货币供应量,cn_m,242,https://tushare.pro/document/2?doc_id=242,用户积累600积分可以使用，具体请参阅 积分获取办法,获取货币供应量之月度数据,,有权限,接口返回成功,0,,583,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,宏观经济,宏观经济/国际宏观/美国利率,国债实际收益率曲线利率,us_trycr,220,https://tushare.pro/document/2?doc_id=220,用户积累120积分可以使用，积分越高频次越高。具体请参阅 积分获取办法,国债实际收益率曲线利率,,有权限,接口返回成功,0,,22,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,宏观经济,宏观经济/国际宏观/美国利率,国债收益率曲线利率（日频）,us_tycr,219,https://tushare.pro/document/2?doc_id=219,用户积累120积分可以使用，积分越高频次越高。具体请参阅 积分获取办法,获取美国每日国债收益率曲线利率,,有权限,接口返回成功,0,,22,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,宏观经济,宏观经济/国际宏观/美国利率,国债长期利率,us_tltr,222,https://tushare.pro/document/2?doc_id=222,用户积累120积分可以使用，积分越高频次越高。具体请参阅 积分获取办法,国债长期利率,,有权限,接口返回成功,0,,22,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,宏观经济,宏观经济/国际宏观/美国利率,国债实际长期利率平均值,us_trltr,223,https://tushare.pro/document/2?doc_id=223,用户积累120积分可以使用，积分越高频次越高。具体请参阅 积分获取办法,国债实际长期利率平均值,,有权限,接口返回成功,0,,22,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,宏观经济,宏观经济/国际宏观/美国利率,短期国债利率,us_tbr,221,https://tushare.pro/document/2?doc_id=221,用户积累120积分可以使用，积分越高频次越高。具体请参阅 积分获取办法,获取美国短期国债利率数据,,有权限,接口返回成功,0,,22,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
